icp_number,meter_serial_number,channel_number,started_at,ended_at,value,unit_code,status
0006510507RN299,6AF08L013890,1,05/07/2017 18:30,05/07/2017 18:59,2.000,kWh,validated
0006510507RN299,6AF08L013890,1,05/07/2017 19:00,05/07/2017 19:29,2.800,kWh,validated
0006510507RN299,6AF08L013890,1,05/07/2017 19:30,05/07/2017 19:59,2.000,kWh,validated
0006510507RN299,6AF08L013890,1,05/07/2017 20:00,05/07/2017 20:29,2.200,kWh,validated
0006510507RN299,6AF08L013890,1,05/07/2017 20:30,05/07/2017 20:59,2.900,kWh,validated
0006510507RN299,6AF08L013890,1,05/07/2017 21:00,05/07/2017 21:29,1.900,kWh,validated
0006510507RN299,6AF08L013890,1,05/07/2017 21:30,05/07/2017 21:59,1.800,kWh,validated
0006510507RN299,6AF08L013890,1,05/07/2017 22:00,05/07/2017 22:29,1.900,kWh,validated
0006510507RN299,6AF08L013890,1,05/07/2017 22:30,05/07/2017 22:59,1.800,kWh,validated
0006510507RN299,6AF08L013890,1,05/07/2017 23:00,05/07/2017 23:29,1.700,kWh,validated
0006510507RN299,6AF08L013890,1,05/07/2017 23:30,05/07/2017 23:59,1.400,kWh,validated
0006510507RN299,6AF08L013890,1,06/07/2017 00:00,06/07/2017 00:29,1.400,kWh,validated
0006510507RN299,6AF08L013890,1,06/07/2017 00:30,06/07/2017 00:59,1.300,kWh,validated
0006510507RN299,6AF08L013890,1,06/07/2017 01:00,06/07/2017 01:29,0.900,kWh,validated
0006510507RN299,6AF08L013890,1,06/07/2017 01:30,06/07/2017 01:59,0.500,kWh,validated
0006510507RN299,6AF08L013890,1,06/07/2017 02:00,06/07/2017 02:29,0.300,kWh,validated
0006510507RN299,6AF08L013890,1,06/07/2017 02:30,06/07/2017 02:59,0.400,kWh,validated
0006510507RN299,6AF08L013890,1,06/07/2017 03:00,06/07/2017 03:29,0.700,kWh,validated
0006510507RN299,6AF08L013890,1,06/07/2017 03:30,06/07/2017 03:59,0.500,kWh,validated
0006510507RN299,6AF08L013890,1,06/07/2017 04:00,06/07/2017 04:29,0.300,kWh,validated
0006510507RN299,6AF08L013890,1,06/07/2017 04:30,06/07/2017 04:59,0.300,kWh,validated
0006510507RN299,6AF08L013890,1,06/07/2017 05:00,06/07/2017 05:29,0.400,kWh,validated
0006510507RN299,6AF08L013890,1,06/07/2017 05:30,06/07/2017 05:59,0.300,kWh,validated
0006510507RN299,6AF08L013890,1,06/07/2017 06:00,06/07/2017 06:29,0.300,kWh,validated
0006510507RN299,6AF08L013890,1,06/07/2017 06:30,06/07/2017 06:59,0.400,kWh,validated
0006510507RN299,6AF08L013890,1,06/07/2017 07:00,06/07/2017 07:29,1.400,kWh,validated
0006510507RN299,6AF08L013890,1,06/07/2017 07:30,06/07/2017 07:59,1.500,kWh,validated
0006510507RN299,6AF08L013890,1,06/07/2017 08:00,06/07/2017 08:29,0.300,kWh,validated
0006510507RN299,6AF08L013890,1,06/07/2017 08:30,06/07/2017 08:59,0.200,kWh,validated
0006510507RN299,6AF08L013890,1,06/07/2017 09:00,06/07/2017 09:29,0.200,kWh,validated
0006510507RN299,6AF08L013890,1,06/07/2017 09:30,06/07/2017 09:59,0.100,kWh,validated
0006510507RN299,6AF08L013890,1,06/07/2017 10:00,06/07/2017 10:29,0.600,kWh,validated
0006510507RN299,6AF08L013890,1,06/07/2017 10:30,06/07/2017 10:59,0.200,kWh,validated
0006510507RN299,6AF08L013890,1,06/07/2017 11:00,06/07/2017 11:29,1.200,kWh,validated
0006510507RN299,6AF08L013890,1,06/07/2017 11:30,06/07/2017 11:59,0.700,kWh,validated
0006510507RN299,6AF08L013890,1,06/07/2017 12:00,06/07/2017 12:29,0.900,kWh,validated
0006510507RN299,6AF08L013890,1,06/07/2017 12:30,06/07/2017 12:59,0.900,kWh,validated
0006510507RN299,6AF08L013890,1,06/07/2017 13:00,06/07/2017 13:29,0.900,kWh,validated
0006510507RN299,6AF08L013890,1,06/07/2017 13:30,06/07/2017 13:59,1.400,kWh,validated
0006510507RN299,6AF08L013890,1,06/07/2017 14:00,06/07/2017 14:29,1.100,kWh,validated
0006510507RN299,6AF08L013890,1,06/07/2017 14:30,06/07/2017 14:59,1.100,kWh,validated
