icp_number,meter_serial_number,channel_number,started_at,ended_at,value,unit_code,status
0005045312RN131,208211246,1,22/12/2020 09:30,22/12/2020 09:59,0.007,kWh,validated
0005045312RN131,208211246,1,22/12/2020 10:00,22/12/2020 10:29,0.007,kWh,validated
0005045312RN131,208211246,1,22/12/2020 10:30,22/12/2020 10:59,0.007,kWh,validated
0005045312RN131,208211246,1,22/12/2020 11:00,22/12/2020 11:29,0.146,kWh,validated
0005045312RN131,208211246,1,22/12/2020 11:30,22/12/2020 11:59,0.007,kWh,validated
0005045312RN131,208211246,1,22/12/2020 12:00,22/12/2020 12:29,0.007,kWh,validated
0005045312RN131,208211246,1,22/12/2020 12:30,22/12/2020 12:59,0.151,kWh,validated
0005045312RN131,208211246,1,22/12/2020 13:00,22/12/2020 13:29,0.007,kWh,validated
0005045312RN131,208211246,1,22/12/2020 13:30,22/12/2020 13:59,0.007,kWh,validated
0005045312RN131,208211246,1,22/12/2020 14:00,22/12/2020 14:29,0.006,kWh,validated
0005045312RN131,208211246,1,22/12/2020 14:30,22/12/2020 14:59,0.188,kWh,validated
0005045312RN131,208211246,1,22/12/2020 15:00,22/12/2020 15:29,0.007,kWh,validated
0005045312RN131,208211246,1,22/12/2020 15:30,22/12/2020 15:59,0.007,kWh,validated
0005045312RN131,208211246,1,22/12/2020 16:00,22/12/2020 16:29,0.007,kWh,validated
0005045312RN131,208211246,1,22/12/2020 16:30,22/12/2020 16:59,0.161,kWh,validated
0005045312RN131,208211246,1,22/12/2020 17:00,22/12/2020 17:29,0.026,kWh,validated
0005045312RN131,208211246,1,22/12/2020 17:30,22/12/2020 17:59,0.007,kWh,validated
0005045312RN131,208211246,1,22/12/2020 18:00,22/12/2020 18:29,0.007,kWh,validated
0005045312RN131,208211246,1,22/12/2020 18:30,22/12/2020 18:59,0.007,kWh,validated
0005045312RN131,208211246,1,22/12/2020 19:00,22/12/2020 19:29,0.142,kWh,validated
0005045312RN131,208211246,1,22/12/2020 19:30,22/12/2020 19:59,0.007,kWh,validated
0005045312RN131,208211246,1,22/12/2020 20:00,22/12/2020 20:29,0.007,kWh,validated
0005045312RN131,208211246,1,22/12/2020 20:30,22/12/2020 20:59,0.015,kWh,validated
0005045312RN131,208211246,1,22/12/2020 21:00,22/12/2020 21:29,0.166,kWh,validated
0005045312RN131,208211246,1,22/12/2020 21:30,22/12/2020 21:59,0.007,kWh,validated
0005045312RN131,208211246,1,22/12/2020 22:00,22/12/2020 22:29,0.007,kWh,validated
0005045312RN131,208211246,1,22/12/2020 22:30,22/12/2020 22:59,0.006,kWh,validated
0005045312RN131,208211246,1,22/12/2020 23:00,22/12/2020 23:29,0.172,kWh,validated
0005045312RN131,208211246,1,22/12/2020 23:30,22/12/2020 23:59,0.007,kWh,validated
0005045312RN131,208211246,1,23/12/2020 00:00,23/12/2020 00:29,0.007,kWh,validated
0005045312RN131,208211246,1,23/12/2020 00:30,23/12/2020 00:59,0.007,kWh,validated
0005045312RN131,208211246,1,23/12/2020 01:00,23/12/2020 01:29,0.141,kWh,validated
0005045312RN131,208211246,1,23/12/2020 01:30,23/12/2020 01:59,0.007,kWh,validated
0005045312RN131,208211246,1,23/12/2020 02:00,23/12/2020 02:29,0.007,kWh,validated
0005045312RN131,208211246,1,23/12/2020 02:30,23/12/2020 02:59,0.144,kWh,validated
0005045312RN131,208211246,1,23/12/2020 03:00,23/12/2020 03:29,0.007,kWh,validated
0005045312RN131,208211246,1,23/12/2020 03:30,23/12/2020 03:59,0.007,kWh,validated
0005045312RN131,208211246,1,23/12/2020 04:00,23/12/2020 04:29,0.103,kWh,validated
0005045312RN131,208211246,1,23/12/2020 04:30,23/12/2020 04:59,0.054,kWh,validated
0005045312RN131,208211246,1,23/12/2020 05:00,23/12/2020 05:29,0.007,kWh,validated
0005045312RN131,208211246,1,23/12/2020 05:30,23/12/2020 05:59,0.006,kWh,validated
0005045312RN131,208211246,1,23/12/2020 06:00,23/12/2020 06:29,0.171,kWh,validated
0005045312RN131,208211246,1,23/12/2020 06:30,23/12/2020 06:59,0.006,kWh,validated
0005045312RN131,208211246,1,23/12/2020 07:00,23/12/2020 07:29,0.007,kWh,validated
0005045312RN131,208211246,1,23/12/2020 07:30,23/12/2020 07:59,0.007,kWh,validated
0005045312RN131,208211246,1,23/12/2020 08:00,23/12/2020 08:29,0.165,kWh,validated
0005045312RN131,208211246,1,23/12/2020 08:30,23/12/2020 08:59,0.007,kWh,validated
0005045312RN131,208211246,1,23/12/2020 09:00,23/12/2020 09:29,0.006,kWh,validated
0005045312RN131,208211246,1,23/12/2020 09:30,23/12/2020 09:59,0.007,kWh,validated
0005045312RN131,208211246,1,23/12/2020 10:00,23/12/2020 10:29,0.161,kWh,validated
