icp_number,meter_serial_number,channel_number,started_at,ended_at,value,unit_code,status
0005171784RN098,208229290,1,10/02/2018 09:00,10/02/2018 09:29,0.157,kWh,validated
0005171784RN098,208229290,1,10/02/2018 09:30,10/02/2018 09:59,0.975,kWh,validated
0005171784RN098,208229290,1,10/02/2018 10:00,10/02/2018 10:29,0.199,kWh,validated
0005171784RN098,208229290,1,10/02/2018 10:30,10/02/2018 10:59,0.202,kWh,validated
0005171784RN098,208229290,1,10/02/2018 11:00,10/02/2018 11:29,0.226,kWh,validated
0005171784RN098,208229290,1,10/02/2018 11:30,10/02/2018 11:59,0.739,kWh,validated
0005171784RN098,208229290,1,10/02/2018 12:00,10/02/2018 12:29,1.092,kWh,validated
0005171784RN098,208229290,1,10/02/2018 12:30,10/02/2018 12:59,0.127,kWh,validated
0005171784RN098,208229290,1,10/02/2018 13:00,10/02/2018 13:29,0.137,kWh,validated
0005171784RN098,208229290,1,10/02/2018 13:30,10/02/2018 13:59,0.135,kWh,validated
0005171784RN098,208229290,1,10/02/2018 14:00,10/02/2018 14:29,0.527,kWh,validated
0005171784RN098,208229290,1,10/02/2018 14:30,10/02/2018 14:59,0.605,kWh,validated
0005171784RN098,208229290,1,10/02/2018 15:00,10/02/2018 15:29,1.143,kWh,validated
0005171784RN098,208229290,1,10/02/2018 15:30,10/02/2018 15:59,0.565,kWh,validated
0005171784RN098,208229290,1,10/02/2018 16:00,10/02/2018 16:29,0.302,kWh,validated
0005171784RN098,208229290,1,10/02/2018 16:30,10/02/2018 16:59,1.126,kWh,validated
0005171784RN098,208229290,1,10/02/2018 17:00,10/02/2018 17:29,1.920,kWh,validated
0005171784RN098,208229290,1,10/02/2018 17:30,10/02/2018 17:59,1.229,kWh,validated
0005171784RN098,208229290,1,10/02/2018 18:00,10/02/2018 18:29,1.201,kWh,validated
0005171784RN098,208229290,1,10/02/2018 18:30,10/02/2018 18:59,1.150,kWh,validated
0005171784RN098,208229290,1,10/02/2018 19:00,10/02/2018 19:29,1.126,kWh,validated
0005171784RN098,208229290,1,10/02/2018 19:30,10/02/2018 19:59,1.088,kWh,validated
0005171784RN098,208229290,1,10/02/2018 20:00,10/02/2018 20:29,0.233,kWh,validated
0005171784RN098,208229290,1,10/02/2018 20:30,10/02/2018 20:59,0.173,kWh,validated
0005171784RN098,208229290,1,10/02/2018 21:00,10/02/2018 21:29,0.144,kWh,validated
0005171784RN098,208229290,1,10/02/2018 21:30,10/02/2018 21:59,0.169,kWh,validated
0005171784RN098,208229290,1,10/02/2018 22:00,10/02/2018 22:29,0.150,kWh,validated
0005171784RN098,208229290,1,10/02/2018 22:30,10/02/2018 22:59,0.089,kWh,validated
0005171784RN098,208229290,1,10/02/2018 23:00,10/02/2018 23:29,0.147,kWh,validated
0005171784RN098,208229290,1,10/02/2018 23:30,10/02/2018 23:59,0.746,kWh,validated
0005171784RN098,208229290,1,11/02/2018 00:00,11/02/2018 00:29,0.147,kWh,validated
0005171784RN098,208229290,1,11/02/2018 00:30,11/02/2018 00:59,0.102,kWh,validated
0005171784RN098,208229290,1,11/02/2018 01:00,11/02/2018 01:29,0.152,kWh,validated
0005171784RN098,208229290,1,11/02/2018 01:30,11/02/2018 01:59,0.265,kWh,validated
0005171784RN098,208229290,1,11/02/2018 02:00,11/02/2018 02:29,0.398,kWh,validated
0005171784RN098,208229290,1,11/02/2018 02:30,11/02/2018 02:59,0.350,kWh,validated
0005171784RN098,208229290,1,11/02/2018 03:00,11/02/2018 03:29,0.316,kWh,validated
0005171784RN098,208229290,1,11/02/2018 03:30,11/02/2018 03:59,0.241,kWh,validated
0005171784RN098,208229290,1,11/02/2018 04:00,11/02/2018 04:29,0.180,kWh,validated
0005171784RN098,208229290,1,11/02/2018 04:30,11/02/2018 04:59,0.156,kWh,validated
0005171784RN098,208229290,1,11/02/2018 05:00,11/02/2018 05:29,0.201,kWh,validated
0005171784RN098,208229290,1,11/02/2018 05:30,11/02/2018 05:59,0.212,kWh,validated
0005171784RN098,208229290,1,11/02/2018 06:00,11/02/2018 06:29,0.158,kWh,validated
0005171784RN098,208229290,1,11/02/2018 06:30,11/02/2018 06:59,0.789,kWh,validated
0005171784RN098,208229290,1,11/02/2018 07:00,11/02/2018 07:29,0.328,kWh,validated
0005171784RN098,208229290,1,11/02/2018 07:30,11/02/2018 07:59,0.190,kWh,validated
0005171784RN098,208229290,1,11/02/2018 08:00,11/02/2018 08:29,0.135,kWh,validated
0005171784RN098,208229290,1,11/02/2018 08:30,11/02/2018 08:59,0.116,kWh,validated
0005171784RN098,208229290,1,11/02/2018 09:00,11/02/2018 09:29,0.205,kWh,validated
0005171784RN098,208229290,1,11/02/2018 09:30,11/02/2018 09:59,0.195,kWh,validated
0005171784RN098,208229290,1,11/02/2018 10:00,11/02/2018 10:29,0.133,kWh,validated
0005171784RN098,208229290,1,11/02/2018 10:30,11/02/2018 10:59,0.522,kWh,validated
0005171784RN098,208229290,1,11/02/2018 11:00,11/02/2018 11:29,0.745,kWh,validated
0005171784RN098,208229290,1,11/02/2018 11:30,11/02/2018 11:59,0.289,kWh,validated
0005171784RN098,208229290,1,11/02/2018 12:00,11/02/2018 12:29,1.226,kWh,validated
0005171784RN098,208229290,1,11/02/2018 12:30,11/02/2018 12:59,1.128,kWh,validated
0005171784RN098,208229290,1,11/02/2018 13:00,11/02/2018 13:29,1.136,kWh,validated
0005171784RN098,208229290,1,11/02/2018 13:30,11/02/2018 13:59,1.126,kWh,validated
0005171784RN098,208229290,1,11/02/2018 14:00,11/02/2018 14:29,0.288,kWh,validated
0005171784RN098,208229290,1,11/02/2018 14:30,11/02/2018 14:59,0.612,kWh,validated
0005171784RN098,208229290,1,11/02/2018 15:00,11/02/2018 15:29,0.786,kWh,validated
0005171784RN098,208229290,1,11/02/2018 15:30,11/02/2018 15:59,0.202,kWh,validated
0005171784RN098,208229290,1,11/02/2018 16:00,11/02/2018 16:29,0.216,kWh,validated
0005171784RN098,208229290,1,11/02/2018 16:30,11/02/2018 16:59,0.862,kWh,validated
0005171784RN098,208229290,1,11/02/2018 17:00,11/02/2018 17:29,0.475,kWh,validated
0005171784RN098,208229290,1,11/02/2018 17:30,11/02/2018 17:59,0.920,kWh,validated
0005171784RN098,208229290,1,11/02/2018 18:00,11/02/2018 18:29,0.413,kWh,validated
0005171784RN098,208229290,1,11/02/2018 18:30,11/02/2018 18:59,0.224,kWh,validated
0005171784RN098,208229290,1,11/02/2018 19:00,11/02/2018 19:29,0.832,kWh,validated
0005171784RN098,208229290,1,11/02/2018 19:30,11/02/2018 19:59,0.679,kWh,validated
0005171784RN098,208229290,1,11/02/2018 20:00,11/02/2018 20:29,0.324,kWh,validated
0005171784RN098,208229290,1,11/02/2018 20:30,11/02/2018 20:59,0.367,kWh,validated
0005171784RN098,208229290,1,11/02/2018 21:00,11/02/2018 21:29,0.845,kWh,validated
0005171784RN098,208229290,1,11/02/2018 21:30,11/02/2018 21:59,1.127,kWh,validated
0005171784RN098,208229290,1,11/02/2018 22:00,11/02/2018 22:29,0.976,kWh,validated
0005171784RN098,208229290,1,11/02/2018 22:30,11/02/2018 22:59,0.440,kWh,validated
0005171784RN098,208229290,1,11/02/2018 23:00,11/02/2018 23:29,0.932,kWh,validated
0005171784RN098,208229290,1,11/02/2018 23:30,11/02/2018 23:59,0.225,kWh,validated
0005171784RN098,208229290,1,12/02/2018 00:00,12/02/2018 00:29,0.216,kWh,validated
0005171784RN098,208229290,1,12/02/2018 00:30,12/02/2018 00:59,0.234,kWh,validated
0005171784RN098,208229290,1,12/02/2018 01:00,12/02/2018 01:29,0.654,kWh,validated
0005171784RN098,208229290,1,12/02/2018 01:30,12/02/2018 01:59,0.177,kWh,validated
0005171784RN098,208229290,1,12/02/2018 02:00,12/02/2018 02:29,0.201,kWh,validated
0005171784RN098,208229290,1,12/02/2018 02:30,12/02/2018 02:59,0.226,kWh,validated
0005171784RN098,208229290,1,12/02/2018 03:00,12/02/2018 03:29,0.220,kWh,validated
0005171784RN098,208229290,1,12/02/2018 03:30,12/02/2018 03:59,0.175,kWh,validated
0005171784RN098,208229290,1,12/02/2018 04:00,12/02/2018 04:29,0.171,kWh,validated
0005171784RN098,208229290,1,12/02/2018 04:30,12/02/2018 04:59,0.743,kWh,validated
0005171784RN098,208229290,1,12/02/2018 05:00,12/02/2018 05:29,0.231,kWh,validated
0005171784RN098,208229290,1,12/02/2018 05:30,12/02/2018 05:59,0.212,kWh,validated
0005171784RN098,208229290,1,12/02/2018 06:00,12/02/2018 06:29,0.191,kWh,validated
0005171784RN098,208229290,1,12/02/2018 06:30,12/02/2018 06:59,1.051,kWh,validated
0005171784RN098,208229290,1,12/02/2018 07:00,12/02/2018 07:29,0.935,kWh,validated
0005171784RN098,208229290,1,12/02/2018 07:30,12/02/2018 07:59,0.379,kWh,validated
0005171784RN098,208229290,1,12/02/2018 08:00,12/02/2018 08:29,1.114,kWh,validated
0005171784RN098,208229290,1,12/02/2018 08:30,12/02/2018 08:59,0.444,kWh,validated
0005171784RN098,208229290,1,12/02/2018 09:00,12/02/2018 09:29,0.200,kWh,validated
0005171784RN098,208229290,1,12/02/2018 09:30,12/02/2018 09:59,0.347,kWh,validated
0005171784RN098,208229290,1,12/02/2018 10:00,12/02/2018 10:29,0.614,kWh,validated
0005171784RN098,208229290,1,12/02/2018 10:30,12/02/2018 10:59,0.961,kWh,validated
0005171784RN098,208229290,1,12/02/2018 11:00,12/02/2018 11:29,1.167,kWh,validated
0005171784RN098,208229290,1,12/02/2018 11:30,12/02/2018 11:59,0.354,kWh,validated
0005171784RN098,208229290,1,12/02/2018 12:00,12/02/2018 12:29,0.297,kWh,validated
0005171784RN098,208229290,1,12/02/2018 12:30,12/02/2018 12:59,0.237,kWh,validated
0005171784RN098,208229290,1,12/02/2018 13:00,12/02/2018 13:29,0.703,kWh,validated
0005171784RN098,208229290,1,12/02/2018 13:30,12/02/2018 13:59,0.311,kWh,validated
0005171784RN098,208229290,1,12/02/2018 14:00,12/02/2018 14:29,0.622,kWh,validated
0005171784RN098,208229290,1,12/02/2018 14:30,12/02/2018 14:59,0.534,kWh,validated
0005171784RN098,208229290,1,12/02/2018 15:00,12/02/2018 15:29,0.235,kWh,validated
0005171784RN098,208229290,1,12/02/2018 15:30,12/02/2018 15:59,0.587,kWh,validated
0005171784RN098,208229290,1,12/02/2018 16:00,12/02/2018 16:29,0.390,kWh,validated
0005171784RN098,208229290,1,12/02/2018 16:30,12/02/2018 16:59,0.275,kWh,validated
0005171784RN098,208229290,1,12/02/2018 17:00,12/02/2018 17:29,0.279,kWh,validated
0005171784RN098,208229290,1,12/02/2018 17:30,12/02/2018 17:59,1.986,kWh,validated
0005171784RN098,208229290,1,12/02/2018 18:00,12/02/2018 18:29,0.975,kWh,validated
0005171784RN098,208229290,1,12/02/2018 18:30,12/02/2018 18:59,0.983,kWh,validated
0005171784RN098,208229290,1,12/02/2018 19:00,12/02/2018 19:29,1.221,kWh,validated
0005171784RN098,208229290,1,12/02/2018 19:30,12/02/2018 19:59,1.184,kWh,validated
0005171784RN098,208229290,1,12/02/2018 20:00,12/02/2018 20:29,1.168,kWh,validated
0005171784RN098,208229290,1,12/02/2018 20:30,12/02/2018 20:59,1.498,kWh,validated
0005171784RN098,208229290,1,12/02/2018 21:00,12/02/2018 21:29,1.075,kWh,validated
0005171784RN098,208229290,1,12/02/2018 21:30,12/02/2018 21:59,0.662,kWh,validated
0005171784RN098,208229290,1,12/02/2018 22:00,12/02/2018 22:29,0.511,kWh,validated
0005171784RN098,208229290,1,12/02/2018 22:30,12/02/2018 22:59,0.379,kWh,validated
0005171784RN098,208229290,1,12/02/2018 23:00,12/02/2018 23:29,0.357,kWh,validated
0005171784RN098,208229290,1,12/02/2018 23:30,12/02/2018 23:59,0.652,kWh,validated
0005171784RN098,208229290,1,13/02/2018 00:00,13/02/2018 00:29,0.446,kWh,validated
